epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.21,1.35751,1.16777,1.00424,0.84356,0.70796,0.83523,0.47873,1.38224,1.13248,1.0133,0.00070587,0.00070587,0.00070587
43,123.041,1.33326,1.18251,1.01262,0.69159,0.71442,0.75783,0.35322,1.54292,1.21142,1.00786,0.000698696,0.000698696,0.000698696
44,125.848,1.293,1.09993,0.9994,0.65275,0.74859,0.74818,0.3894,1.43726,1.18644,1.00701,0.000691522,0.000691522,0.000691522
45,128.664,1.26264,1.0909,0.98388,0.70909,0.79646,0.80147,0.46471,1.39963,1.13394,1.01479,0.000684348,0.000684348,0.000684348
46,131.5,1.27224,1.06413,0.98388,0.79154,0.72566,0.81915,0.45918,1.35586,1.10863,0.99628,0.000677174,0.000677174,0.000677174
47,134.284,1.27737,1.10782,1.01299,0.79455,0.77876,0.81355,0.41321,1.5318,1.16849,0.99681,0.00067,0.00067,0.00067
48,137.091,1.30372,1.06591,0.99517,0.72611,0.79646,0.80411,0.45462,1.32796,1.13408,0.98974,0.000662826,0.000662826,0.000662826
49,139.913,1.24032,1.03903,0.96413,0.74595,0.77952,0.78601,0.38514,1.55606,1.22153,1.00648,0.000655652,0.000655652,0.000655652
50,142.72,1.29664,1.0584,0.97888,0.79724,0.83513,0.86411,0.47902,1.35901,1.1311,1.00125,0.000648478,0.000648478,0.000648478
51,145.695,1.26115,1.10507,0.99744,0.77215,0.79646,0.82851,0.38488,1.53968,1.17092,1.00336,0.000641304,0.000641304,0.000641304
52,148.526,1.32101,1.05699,1.01625,0.78121,0.80531,0.8308,0.43081,1.35305,1.09419,0.99168,0.00063413,0.00063413,0.00063413
53,151.37,1.27625,1.07371,0.97819,0.72458,0.76106,0.7898,0.39796,1.49837,1.1334,0.99748,0.000626957,0.000626957,0.000626957
54,154.169,1.28622,1.07387,0.97517,0.79288,0.81304,0.83014,0.43665,1.47663,1.09674,0.99878,0.000619783,0.000619783,0.000619783
55,157.025,1.25509,1.0722,0.98795,0.76807,0.75221,0.85854,0.50842,1.29411,1.02937,0.96645,0.000612609,0.000612609,0.000612609
56,160.018,1.2046,1.03074,0.97645,0.80148,0.84071,0.82419,0.42322,1.48684,1.15177,0.9826,0.000605435,0.000605435,0.000605435
57,162.851,1.25895,1.03662,0.97998,0.82138,0.88496,0.85015,0.4462,1.4457,1.0491,0.97947,0.000598261,0.000598261,0.000598261
58,165.666,1.21236,1.04264,0.97787,0.82986,0.81416,0.85604,0.48284,1.3787,1.03832,0.97815,0.000591087,0.000591087,0.000591087
59,168.501,1.1873,1.0079,0.95424,0.73378,0.82935,0.81705,0.45636,1.3469,1.05582,0.96211,0.000583913,0.000583913,0.000583913
60,171.377,1.23448,1.03476,0.98858,0.75736,0.81416,0.82337,0.43915,1.51689,1.05216,0.99372,0.000576739,0.000576739,0.000576739
61,174.217,1.23539,1.01251,0.9811,0.8273,0.80546,0.87703,0.49317,1.40379,1.0258,0.96889,0.000569565,0.000569565,0.000569565
62,177.015,1.23871,1.05241,0.96558,0.79855,0.84071,0.83646,0.46095,1.44868,1.10606,0.97497,0.000562391,0.000562391,0.000562391
63,179.836,1.21442,1.02931,0.9639,0.66571,0.85841,0.78666,0.41126,1.3919,1.13314,0.96688,0.000555217,0.000555217,0.000555217
64,182.683,1.22608,1.01709,0.95076,0.80364,0.83303,0.81951,0.42378,1.46295,1.13176,0.9679,0.000548043,0.000548043,0.000548043
65,185.501,1.20349,1.01122,0.95775,0.67638,0.86931,0.79609,0.43951,1.3876,1.10158,0.96829,0.00054087,0.00054087,0.00054087
66,188.304,1.20335,1.03547,0.97264,0.72631,0.82301,0.82786,0.50333,1.26674,1.0125,0.96139,0.000533696,0.000533696,0.000533696
67,191.16,1.21545,1.02815,0.96792,0.72267,0.82301,0.81504,0.50651,1.29636,1.05063,0.96753,0.000526522,0.000526522,0.000526522
68,193.993,1.23151,1.07241,0.95229,0.81348,0.81054,0.86191,0.48385,1.40422,1.10259,0.97199,0.000519348,0.000519348,0.000519348
69,196.781,1.19868,1.01802,0.97502,0.84678,0.83142,0.88371,0.54634,1.21136,1.029,0.95205,0.000512174,0.000512174,0.000512174
70,199.765,1.19401,0.97636,0.95921,0.80384,0.79784,0.84054,0.45133,1.46012,1.1008,0.99004,0.000505,0.000505,0.000505
71,202.569,1.17449,0.95946,0.93504,0.7601,0.84071,0.86629,0.51805,1.29536,1.0384,0.99217,0.000497826,0.000497826,0.000497826
